HERV3-int	internal	DF0000169	Internal region of an ERV1 endogenous retrovirus, HERV3 subfamily
LTR4	ltr	DF0000512	LTR4 (Long Terminal Repeat) for HERV3 endogenous retrovirus
LTR61	ltr	DF0000561	LTR61 (Long Terminal Repeat) for ERV1 endogenous retrovirus
LTR76	ltr	DF0000581	LTR76 (Long Terminal Repeat) for ERV1 endogenous retrovirus
HERV4_I-int	internal	DF0000172	Internal region of an ERV1 endogenous retrovirus, HERV4 subfamily
MER51A	ltr	DF0000809	MER51A Long Terminal Repeat for ERV1 endogenous retrovirus
MER51B	ltr	DF0000810	MER51B Long Terminal Repeat for ERV1 endogenous retrovirus
MER51C	ltr	DF0000811	MER51C Long Terminal Repeat for ERV1 endogenous retrovirus
MER51D	ltr	DF0000812	MER51D Long Terminal Repeat for ERV1 endogenous retrovirus
MER51E	ltr	DF0000813	MER51E Long Terminal Repeat for ERV1 endogenous retrovirus
HERVP71A-int	internal	DF0000204	Internal region of ERV1 endogenous retrovirus, HERVP71A subfamily
LTR71A	ltr	DF0000573	LTR71A (Long Terminal Repeat) for HERVP71A endogenous retrovirus
LTR71B	ltr	DF0000574	LTR71B (Long Terminal Repeat) for HERVP71A endogenous retrovirus
HERVS71-int	internal	DF0000205	Internal region of ERV1 endogenous retrovirus, HERVS71 subfamily
LTR6A	ltr	DF0000569	LTR6A (Long Terminal Repeat) for HERVS71 endogenous retrovirus
LTR6B	ltr	DF0000570	LTR6B (Long Terminal Repeat) for HERVS71 endogenous retrovirus
PABL_A-int	internal	DF0000235	Internal region of ERV1 endogenous retrovirus, PABL_A-int subfamily
PABL_A	ltr	DF0000231	Long Terminal Repeat for PABL_A endogenous retrovirus
PABL_B-int	internal	DF0001051	Internal region of ERV1 endogenous retrovirus, PABL_B-int subfamily
PABL_B	ltr	DF0001050	PABL_B Long Terminal Repeat for ERV1 endogenous retrovirus
MER4-int	internal	DF0000806	Internal region of ERV1 endogenous retrovirus, MER4-int subfamily
MER4A	ltr	DF0000892	MER4A Long Terminal Repeat for ERV1 endogenous retrovirus
MER4A1	ltr	DF0000795	MER4A1 Long Terminal Repeat for ERV1 endogenous retrovirus
MER4A1_	ltr	DF0000796	Variant MER4A1 Long Terminal Repeat for ERV1 endogenous retrovirus
MER4B	ltr	DF0000797	MER4B Long Terminal Repeat for ERV1 endogenous retrovirus
MER4C	ltr	DF0000799	MER4C Long Terminal Repeat for ERV1 endogenous retrovirus
MER4B-int	internal	DF0000798	Internal region of ERV1 endogenous retrovirus, MER4B-int subfamily
MER4D	ltr	DF0000801	MER4D Long Terminal Repeat for ERV1 endogenous retrovirus
MER4D0	ltr	DF0000802	MER4D0 Long Terminal Repeat for ERV1 endogenous retrovirus
MER4D1	ltr	DF0000803	MER4D1 Long Terminal Repeat for ERV1 endogenous retrovirus
MER4E	ltr	DF0000804	MER4E Long Terminal Repeat for ERV1 endogenous retrovirus
MER4E1	ltr	DF0000805	MER4E1 Long Terminal Repeat for ERV1 endogenous retrovirus
MER34B-int	internal	DF0000752	Internal region of ERV1 endogenous retrovirus, MER34B-int subfamily
MER34	ltr	DF0000770	MER34 Long Terminal Repeat for ERV1 endogenous retrovirus
MER34B	ltr	DF0000751	MER34B Long Terminal Repeat for ERV1 endogenous retrovirus
MER34C	ltr	DF0000753	MER34C Long Terminal Repeat for ERV1 endogenous retrovirus
MER34C2	ltr	DF0000755	MER34C2 Long Terminal Repeat for ERV1 endogenous retrovirus
MER34C_	ltr	DF0000754	Extension of MER34C Long Terminal Repeat for ERV1 endogenous retrovirus
MER41-int	internal	DF0000765	Internal region of ERV1 endogenous retrovirus, MER41-int subfamily
MER41A	ltr	DF0000760	MER41A Long Terminal Repeat for ERV1 endogenous retrovirus
MER41B	ltr	DF0000761	MER41B Long Terminal Repeat for ERV1 endogenous retrovirus
MER41C	ltr	DF0000762	MER41C Long Terminal Repeat for ERV1 endogenous retrovirus
MER61-int	internal	DF0000882	Internal region of ERV1 endogenous retrovirus, MER61-int subfamily
MER61A	ltr	DF0000883	MER61A Long Terminal Repeat for ERV1 endogenous retrovirus
MER61B	ltr	DF0000884	MER61B Long Terminal Repeat for ERV1 endogenous retrovirus
MER61C	ltr	DF0000885	MER61C Long Terminal Repeat for ERV1 endogenous retrovirus
MER61D	ltr	DF0000886	MER61D Long Terminal Repeat for ERV1 endogenous retrovirus
MER101-int	internal	DF0000700	Internal region of ERV1 endogenous retrovirus, MER101-int subfamily
MER101	ltr	DF0000768	MER101 Long Terminal Repeat for ERV1 endogenous retrovirus
MER101B	ltr	DF0000695	MER101B putative Long Terminal Repeat for ERV1 endogenous retrovirus
